index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
20832,Malaysia Airlines,1695.2920000000001,1114.197,10.444,0.0,44105,10,696,1585,Malaysia,2020,42764
20894,Japan Airlines,266.881,636.879,102.06700000000001,8.294,44136,11,509,326,Japan,2020,42834
20944,Kalitta Air,1761.309,0,0.0,0.0,44013,7,0,0,USA,2020,42533
21278,United Parcel Service,0.0,104.67,0.0,0.0,44013,7,0,0,Singapore,2020,42563
21424,Federal Express Corporation,0.0,2934.114,0.0,0.0,44044,8,0,0,China,2020,42595
21490,Air China,1144.7160000000001,1124.368,40.757,23.61,44075,9,0,0,China,2020,42647
21611,Vietnam Airlines,375.866,477.956,0.0,0.556,44075,9,129,694,Vietnam,2020,42716
21615,Jetstar,0.0,1.349,0.0,0.0,44136,11,577,189,New Zealand,2020,42835
21636,Kalitta Air,0.0,1016.209,0.0,0.0,44105,10,0,0,Singapore,2020,42759
21778,Polar Air Cargo,815.0110000000001,0,0.0,0.0,44075,9,0,0,Guam,2020,42689
21881,Federal Express Corporation,533.6759999999999,196.335,0.0,0.0,44136,11,0,0,Singapore,2020,42828
21898,China Eastern Airlines,504.496,607.058,20.14,0.0,44136,11,319,1862,China,2020,42814
21955,Federal Express Corporation,1221.649,261.123,0.0,0.0,44013,7,0,0,Singapore,2020,42526
22152,Malaysia Airlines,1638.029,682.208,6.792999999999999,0.0,44044,8,336,1812,Malaysia,2020,42611
22187,Polar Air Cargo,0.0,79.82,0.0,0.0,44075,9,0,0,New Zealand,2020,42692
22214,Nauru Airlines,12.600999999999999,68.527,0.0,0.0,44105,10,60,86,Nauru,2020,42766
22226,All Nippon Airways,419.19699999999995,468.511,3.167,0.0,44136,11,696,647,Japan,2020,42807
22472,Kalitta Air,0.0,141.173,0.0,0.0,44075,9,0,0,Hong Kong (SAR),2020,42679
22529,Nauru Airlines,7.053999999999999,82.155,0.0,0.0,44075,9,27,48,Nauru,2020,42686
22780,Kalitta Air,1580.846,0,0.0,0.0,44075,9,0,0,USA,2020,42681
22791,Air Caledonie International,4.666,100.591,0.263,3.35,44013,7,56,74,New Caledonia,2020,42503
22803,Silk Air,0.309,0.991,0.0,0.0,44136,11,63,4,Singapore,2020,42867
22870,Kalitta Air,0.0,185.116,0.0,0.0,44013,7,0,0,Hong Kong (SAR),2020,42531
22954,Federal Express Corporation,35.736999999999995,0,0.0,0.0,44044,8,0,0,New Zealand,2020,42597
23040,Air Caledonie International,3.2710000000000004,107.929,0.479,3.299,44105,10,46,106,New Caledonia,2020,42718
23187,Air Canada,0.0,250.142,0.0,44.763000000000005,44105,10,0,0,New Zealand,2020,42720
23221,Philippine Airlines,5.018,40.032,0.0,0.0,44075,9,74,292,Philippines,2020,42688
23282,Singapore Airlines,256.095,706.488,0.0,0.0,44136,11,0,0,New Zealand,2020,42868
23916,Emirates,12.823,42.46,0.0,0.0,44105,10,0,0,New Zealand,2020,42740
23918,Emirates,0.0,443.096,0.0,0.0,44044,8,0,0,Hong Kong (SAR),2020,42587
23978,Polar Air Cargo,1007.265,0,0.0,0.0,44044,8,0,0,Guam,2020,42617
24414,Qantas Airways,100.20299999999999,177.545,0.0,0.001,44105,10,0,0,Japan,2020,42775
24528,Singapore Airlines,4800.763,3066.741,23.647,0.0,44044,8,1530,2968,Singapore,2020,42633
24739,LATAM Airlines,33.792,0,0.0,0.0,44013,7,0,0,Chile,2020,42535
24759,Etihad Airways,0.0,0,0.0,0.0,44075,9,0,0,New Zealand,2020,42668
24817,Air Vanuatu,0.7859999999999999,1.493,0.024,0.17800000000000002,44044,8,21,0,Vanuatu,2020,42575
24860,Emirates,38.975,247.353,0.0,0.0,44105,10,0,0,Thailand,2020,42743
25142,SriLankan Airlines,111.46799999999999,27.568,0.0,0.0,44136,11,141,1132,Sri Lanka,2020,42871
25323,Air New Zealand,1600.432,1620.528,150.767,57.071999999999996,44044,8,2532,6311,New Zealand,2020,42572
25390,Qantas Airways,0.0,0,0.0,0.0,44105,10,0,0,Philippines,2020,42778
25410,Federal Express Corporation,3591.4959999999996,0,0.0,0.0,44044,8,0,0,USA,2020,42599
25621,United Parcel Service,0.0,250.776,0.0,0.0,44013,7,0,0,Korea,2020,42562
25686,Qantas Airways,111.087,119.806,0.0,0.0,44075,9,0,0,Japan,2020,42695
25805,Air Caledonie International,3.449,91.729,0.284,4.1739999999999995,44075,9,52,67,New Caledonia,2020,42646
25890,United Parcel Service,0.0,74.614,0.0,0.0,44075,9,0,0,China,2020,42712
25916,Qantas Airways,0.0,0,0.0,0.0,44136,11,0,0,Korea,2020,42855
25923,China Eastern Airlines,596.9259999999999,672.621,0.0,0.0,44013,7,307,1605,China,2020,42514
25940,Polar Air Cargo,0.0,141.351,0.0,0.0,44136,11,0,0,New Zealand,2020,42851
25969,Tasman Cargo Airlines,1168.329,1021.2,0.0,0.0,44105,10,0,0,New Zealand,2020,42790
26131,Qatar Airways,2474.601,3817.786,173.86599999999999,75.45100000000001,44136,11,3438,5202,Qatar,2020,42862
26260,LATAM Airlines,52.305,27.927,0.0,0.0,44075,9,0,0,Chile,2020,42683
26267,United Airlines,110.37,91.25,25.066,47.147,44105,10,0,0,New Zealand,2020,42792
26270,China Southern Airlines,1056.583,724.346,101.287,0.0,44105,10,366,3601,China,2020,42735
26862,Qantas Airways,289.89799999999997,1104.717,0.0,0.0,44105,10,0,0,China,2020,42773
26919,LATAM Airlines,0.0,33.233,0.0,0.0,44075,9,0,0,New Zealand,2020,42684
26992,Japan Airlines,127.819,257.259,61.254,2.967,44013,7,0,0,Japan,2020,42530
27099,Federal Express Corporation,0.0,3166.075,0.0,0.0,44013,7,0,0,China,2020,42524
27146,Emirates,8.686,83.062,0.0,0.0,44013,7,0,0,New Zealand,2020,42518
27184,Fiji Airways,236.982,150.514,1.8840000000000001,10.725999999999999,44105,10,93,165,Fiji,2020,42752
27283,Qantas Airways,0.0,220.757,0.0,0.0,44105,10,0,0,Thailand,2020,42780
27375,Kalitta Air,1587.384,0,0.0,0.0,44105,10,0,0,USA,2020,42760
27527,Qantas Airways,1642.049,29.126,12.311,0.0,44136,11,0,0,USA,2020,42859
27689,Air New Zealand,871.799,1609.942,68.40100000000001,0.49,44136,11,4151,3741,New Zealand,2020,42804
27708,All Nippon Airways,234.512,180.151,3.305,0.0,44044,8,392,956,Japan,2020,42577
27740,Pacific Air Express,0.0,29.616,0.0,0.0,44136,11,0,0,Papua New Guinea,2020,42846
27890,Scoot Tigerair,539.844,481.85,0.0,0.0,44013,7,213,288,Singapore,2020,42553
28080,Emirates,0.0,29.824,0.0,3.5839999999999996,44105,10,0,0,Philippines,2020,42741
28442,Qantas Airways,1496.29,7.632,11.642000000000001,0.0,44044,8,0,0,USA,2020,42627
28660,Philippine Airlines,50.368,22.888,0.0,0.0,44136,11,58,107,Philippines,2020,42847
28721,Solomon Airlines,2.468,5.814,0.0,0.0,44075,9,40,104,Solomon Islands,2020,42706
28784,Garuda Indonesia,232.207,192.782,61.851000000000006,0.0,44136,11,435,663,Indonesia,2020,42831
28957,Polar Air Cargo,831.03,531.79,0.0,13.302999999999999,44105,10,0,0,Japan,2020,42770
29034,Fiji Airways,288.374,131.907,0.152,6.7589999999999995,44044,8,0,0,Fiji,2020,42600
29184,Emirates,0.0,192.275,0.0,0.0,44044,8,0,277,Thailand,2020,42590
29364,Air New Zealand,1541.749,1572.881,167.946,92.46799999999999,44013,7,4905,5169,New Zealand,2020,42506
29493,Eva Air,518.673,645.056,0.0,0.0,44075,9,0,128,Taiwan,2020,42670
29497,United Parcel Service,1484.4279999999999,0,0.0,0.0,44136,11,0,0,USA,2020,42879
29547,Nauru Airlines,0.0,61.044,0.0,0.0,44136,11,0,0,Solomon Islands,2020,42845
29555,Polar Air Cargo,0.0,433.738,0.0,0.0,44105,10,0,0,Korea,2020,42771
29830,Qantas Airways,0.0,205.52,0.0,0.004,44013,7,0,0,Thailand,2020,42549
29834,Qantas Airways,122.431,156.168,0.0,0.0,44136,11,0,0,Japan,2020,42854
29835,United Parcel Service,0.0,28.911,0.0,0.0,44136,11,0,0,Singapore,2020,42878
29934,Emirates,0.0,98.3,0.0,11.785,44136,11,0,0,Cambodia,2020,42817
29990,Solomon Airlines,0.52,27.439,0.0,0.0,44044,8,17,0,Solomon Islands,2020,42634
30114,Emirates,0.0,98.318,0.0,10.716,44105,10,0,0,Cambodia,2020,42737
30167,United Parcel Service,1779.9679999999998,0.362,0.0,0.0,44105,10,0,0,USA,2020,42796
30578,Qantas Airways,0.0,761.646,0.0,0.0,44044,8,0,0,China,2020,42620
30834,Polar Air Cargo,679.9760000000001,0,0.0,0.0,44105,10,0,0,Guam,2020,42769
30854,Fiji Airways,274.308,117.213,0.14,4.044,44013,7,0,0,Fiji,2020,42528
30886,China Airlines,889.525,1480.801,61.065,0.768,44075,9,142,783,Taiwan,2020,42658
30888,Virgin Australia,64.046,56.736,0.0,0.0,44013,7,0,0,USA,2020,42566
31168,China Eastern Airlines,462.71,439.733,10.113999999999999,0.0,44105,10,294,1997,China,2020,42734
31208,Vietnam Airlines,434.32599999999996,381.54,0.0,0.0,44044,8,104,839,Vietnam,2020,42643
31257,All Nippon Airways,221.74200000000002,216.295,3.2439999999999998,0.0,44013,7,356,935,Japan,2020,42509
31292,Air Vanuatu,0.737,4.7,0.0,0.0,44105,10,28,190,Vanuatu,2020,42727
31391,Qantas Airways,142.351,187.179,0.0,0.0,44105,10,0,0,Singapore,2020,42779
31432,Cathay Pacific Airways,3076.675,2353.887,126.226,0.0,44136,11,887,1683,Hong Kong (SAR),2020,42811
31472,United Parcel Service,0.0,377.73,0.0,0.0,44105,10,0,0,Korea,2020,42794
31623,Singapore Airlines,4778.920999999999,3379.65,43.688,0.0,44075,9,1996,2160,Singapore,2020,42705
31750,Emirates,3737.261,1737.868,82.87799999999999,171.493,44044,8,1448,5874,United Arab Emirates,2020,42591
31845,Air New Zealand,50.771,80.345,5.004,0.0,44105,10,0,0,USA,2020,42724
32037,Air Caledonie International,3.323,101.414,0.441,4.666,44136,11,79,64,New Caledonia,2020,42799
32155,Solomon Airlines,17.578,22.475,0.0,0.0,44013,7,38,218,Solomon Islands,2020,42556
32361,Vietnam Airlines,437.077,534.215,0.0,8.79,44136,11,248,691,Vietnam,2020,42880
32394,Cathay Pacific Airways,2969.3379999999997,2045.115,94.23200000000001,0.0,44105,10,958,1818,Hong Kong (SAR),2020,42732
32493,Pacific Air Express,0.0,28.63,0.0,0.0,44044,8,0,0,Papua New Guinea,2020,42615
33022,Federal Express Corporation,0.0,12.803,0.0,0.0,44105,10,0,0,Philippines,2020,42749
33159,American Airlines,475.50699999999995,248.086,0.0,0.0,44044,8,0,0,USA,2020,42578
33317,Emirates,0.0,481.946,0.0,0.0,44136,11,0,0,Hong Kong (SAR),2020,42818
33432,Air Canada,280.894,0,65.979,0.0,44136,11,0,0,Canada,2020,42800
33450,Air Niugini,149.726,251.807,0.0,0.0,44013,7,626,587,Papua New Guinea,2020,42507
33546,Asiana Airlines,48.257,31.139,0.0,0.0,44075,9,119,650,Korea,2020,42655
33583,Qantas Airways,1648.4920000000002,5.439,15.697000000000001,0.0,44075,9,0,0,USA,2020,42700
33592,Vietnam Airlines,422.38300000000004,494.06,0.0,1.882,44105,10,249,700,Vietnam,2020,42797
33614,Air New Zealand,29.638,34.96,0.0,0.0,44044,8,0,0,USA,2020,42573
33636,Jetstar,0.005,1.321,0.0,0.0,44105,10,316,88,New Zealand,2020,42757
33680,Tasman Cargo Airlines,1029.053,1143.793,0.0,0.0,44013,7,0,0,New Zealand,2020,42558
33721,China Eastern Airlines,450.97,612.261,0.0,0.0,44075,9,200,1943,China,2020,42659
33772,Qantas Airways,131.371,111.063,0.0,0.0,44044,8,0,0,Japan,2020,42622
33833,Qantas Airways,393.31,588.536,0.17,0.172,44013,7,0,0,New Zealand,2020,42547
34008,Federal Express Corporation,0.0,19.272,0.0,0.0,44013,7,0,0,Hong Kong (SAR),2020,42525
34273,Cathay Pacific Airways,2169.833,2413.697,162.283,0.0,44013,7,947,2864,Hong Kong (SAR),2020,42512
34354,Kalitta Air,0.0,189.785,0.0,0.0,44136,11,0,0,Hong Kong (SAR),2020,42836
34587,LATAM Airlines,29.058000000000003,26.373,0.0,0.0,44105,10,98,32,Chile,2020,42762
34732,LATAM Airlines,0.0,25.563,0.0,0.0,44044,8,0,0,New Zealand,2020,42610
34760,Korean Air,171.918,55.655,0.0,1.218,44044,8,0,75,Korea,2020,42608
34897,Beijing Capital Airlines,308.784,243.301,0.0,0.0,44105,10,0,0,China,2020,42731
35038,Federal Express Corporation,3346.68,0,0.0,0.0,44013,7,0,0,USA,2020,42527
35048,American Airlines,668.043,343.798,52.222,60.566,44136,11,358,326,USA,2020,42808
35064,Qantas Airways,115.12299999999999,156.691,0.0,0.0,44136,11,0,0,Singapore,2020,42857
35316,Emirates,36.325,121.526,0.0,0.42700000000000005,44136,11,0,0,New Zealand,2020,42820
35411,Malindo Air,0.0,11.735,0.0,0.0,44044,8,0,450,Malaysia,2020,42613
35492,Federal Express Corporation,0.0,20.527,0.0,0.0,44136,11,0,0,Philippines,2020,42827
35555,United Airlines,245.783,132.149,14.732999999999999,91.431,44136,11,0,0,New Zealand,2020,42874
35588,Delta Air Lines,151.326,172.538,30.125999999999998,0.0,44013,7,651,655,USA,2020,42516
35605,Nauru Airlines,0.0,27.272,0.0,0.0,44075,9,0,0,Solomon Islands,2020,42687
35745,Federal Express Corporation,3920.88,0,0.0,0.0,44105,10,0,0,USA,2020,42751
35927,China Airlines,929.643,1967.857,70.385,2.0669999999999997,44136,11,261,613,Taiwan,2020,42813
35990,Federal Express Corporation,3907.873,0,0.0,0.0,44075,9,0,0,USA,2020,42673
36101,Eva Air,614.539,647.881,0.0,0.0,44105,10,43,143,Taiwan,2020,42746
36104,Qatar Airways,2123.007,3430.759,121.882,8.549,44044,8,3281,13614,Qatar,2020,42629
36272,Malindo Air,0.0,8.316,0.0,0.0,44105,10,0,348,Malaysia,2020,42765
36380,Qatar Airways,0.0,0,0.0,0.0,44136,11,0,0,Singapore,2020,42863
36474,Malindo Air,0.0,0,0.0,0.0,44044,8,0,0,Indonesia,2020,42612
36502,Thai Airways International,96.77,117.378,5.435,0.0,44136,11,181,558,Thailand,2020,42873
36736,Emirates,0.0,0.174,0.0,0.0,44136,11,0,0,Indonesia,2020,42819
37116,Polar Air Cargo,884.941,623.325,0.0,0.0,44013,7,0,0,Japan,2020,42541
37154,Polar Air Cargo,0.0,82.486,0.0,0.0,44013,7,0,0,Korea,2020,42542
37345,Air Caledonie International,5.752999999999999,100.516,0.18,3.767,44044,8,72,91,New Caledonia,2020,42568
37624,Qantas Airways,808.405,395.647,0.025,0.0,44105,10,0,0,Hong Kong (SAR),2020,42774
37629,Malaysia Airlines,1331.296,1094.934,17.930999999999997,0.0,44136,11,348,585,Malaysia,2020,42842
38054,United Airlines,787.5419999999999,910.173,128.515,92.61,44013,7,1334,2465,USA,2020,42560
38223,United Airlines,0.0,17.324,0.0,26.239,44044,8,0,0,New Zealand,2020,42638
38284,China Southern Airlines,730.546,664.62,186.61599999999999,0.0,44044,8,342,4346,China,2020,42585
38353,Delta Air Lines,190.02900000000002,355.539,68.781,0.0,44136,11,976,571,USA,2020,42816
38439,Korean Air,113.67299999999999,50.22,0.0,4.093999999999999,44013,7,41,185,Korea,2020,42534
38551,United Parcel Service,1501.725,0,0.0,0.0,44013,7,0,0,USA,2020,42564
39014,Vietnam Airlines,299.632,325.906,0.0,0.0,44013,7,39,702,Vietnam,2020,42565
39071,Eva Air,562.339,697.456,0.0,0.0,44136,11,65,147,Taiwan,2020,42825
39125,Japan Airlines,171.18599999999998,254.672,47.518,4.728,44044,8,0,0,Japan,2020,42604
39292,Emirates,3328.938,1419.86,124.287,118.985,44136,11,2059,5414,United Arab Emirates,2020,42823
39308,Qatar Airways,1779.154,2863.072,87.492,16.649,44013,7,4578,15516,Qatar,2020,42551
39375,United Parcel Service,0.0,254.764,0.0,0.0,44136,11,0,0,Korea,2020,42877
39567,Air Vanuatu,0.551,3.737,0.0,0.0,44136,11,61,43,Vanuatu,2020,42806
39635,United Parcel Service,0.0,13.246,0.0,0.0,44136,11,0,0,China,2020,42876
39671,Emirates,393.62,394.782,2.699,0.848,44013,7,0,0,Singapore,2020,42519
39834,Singapore Airlines,5246.664000000001,3072.103,46.982,0.0,44136,11,4220,3900,Singapore,2020,42869
40003,Thai Airways International,91.954,97.866,4.479,0.0,44075,9,141,695,Thailand,2020,42709
40369,United Parcel Service,0.0,49.103,0.0,0.0,44013,7,0,0,China,2020,42561
40370,Qantas Airways,885.4010000000001,542.431,0.823,0.0,44075,9,0,0,Hong Kong (SAR),2020,42694
40418,United Airlines,948.503,1087.443,100.616,103.79899999999999,44044,8,1145,1991,USA,2020,42639
40437,Air China,1117.5919999999999,1112.513,27.461,8.155,44105,10,0,0,China,2020,42721
40448,Singapore Airlines,183.36599999999999,663.658,0.0,0.0,44105,10,0,0,New Zealand,2020,42786
40482,Qatar Airways,0.0,0,0.0,0.0,44136,11,0,0,Malaysia,2020,42860
40541,Royal Brunei Airlines,96.845,138.325,0.083,0.0,44105,10,0,21,Brunei,2020,42784
40544,Emirates,0.0,679.48,0.0,2.392,44075,9,0,0,Hong Kong (SAR),2020,42662
40767,Royal Brunei Airlines,86.589,153.984,0.065,0.0,44044,8,0,18,Brunei,2020,42630
40790,Emirates,49.898999999999994,187.329,0.0,0.0,44075,9,0,276,Thailand,2020,42666
40853,Polar Air Cargo,186.882,0,0.0,0.0,44013,7,0,0,Guam,2020,42540
40902,Philippine Airlines,160.142,20.345,0.0,0.0,44044,8,44,84,Philippines,2020,42616
40940,Xiamen Airlines,465.841,522.62,10.4,0.0,44044,8,152,1627,China,2020,42645
41053,Emirates,0.0,150.243,0.0,1.38,44013,7,0,277,Thailand,2020,42520
41376,Delta Air Lines,149.61,297.499,41.70399999999999,0.0,44075,9,438,441,USA,2020,42661
41535,Air India,45.051,72.702,60.765,0.0,44136,11,352,911,India,2020,42803
41536,Eva Air,488.92699999999996,356.506,0.0,0.0,44013,7,89,198,Taiwan,2020,42523
41680,China Airlines,1055.133,1827.025,59.828,2.176,44105,10,161,724,Taiwan,2020,42733
41731,Kalitta Air,0.0,1121.477,0.0,0.0,44013,7,0,0,Singapore,2020,42532
41756,Qantas Airways,430.92900000000003,840.323,0.0,0.0,44136,11,0,0,China,2020,42852
41781,Air Niugini,127.944,227.39,0.0,0.0,44075,9,569,550,Papua New Guinea,2020,42651
41893,Xiamen Airlines,144.1,118.207,6.6,0.0,44136,11,272,2450,China,2020,42881
42335,Beijing Capital Airlines,189.843,212.664,0.0,0.0,44075,9,0,0,China,2020,42656
